article_id‰full_name‰gender
0fca551853a867bcd4ed41c30219a9fa‰Herman Tilke‰male
1d25691a1cf23e8d5e19c001a5a4b793‰Michael Dell‰male
7a053d06e31a14c7f4a547cf2a26f5dd‰Ángel Rodríguez‰male
2ca2248f070319f280970b8cbd2e015b‰Richard Johnson‰male
bef172e7398def15274f3621d552d8d4‰Fausto Escrigas‰male
560bba2a17ae2b08c84af4a47433fea4‰Fernández Carrasco‰unknown
b1421d07d983dbf7b96fbe8f66743e2b‰Jade Lin‰female
d26c86da4550a19cf7088847550ee7a6‰José Reque‰male
2e92e935d17b17ccdb2dbeaaca98ff85‰Elisabeth Prats-Alfonso‰female
ef945af264238657b81629009be57ded‰Takeaki Kato‰male
dd5b3ac463f286cc3354191bf44346a5‰Edmundo Rodríguez Sobrino‰male
a2550061f985a57b287189f1f726fee6‰Vin Mariani‰male
a3a27ac7431a5c61936c217819191d94‰Alejandra Pizarnik‰female
22175349f54acdb3cac11b6a6cac64ff‰Maria Kmita‰female
a6a760e33ef85e8618d93d39b5d98ab3‰Sonia de Assis‰female
4a30756103196b5885182b814df4247f‰Alberto Angela‰male
be6a72e4f4b1c3bf47432ae69bc88911‰Alfonso Ferrón del Río‰male
90ca5cb312143195bfc53cfe9818058a‰Mohamed Hater‰male
90ca5cb312143195bfc53cfe9818058a‰Peter Gendelman‰male
f814a81e3dadd72d631587b72365f294‰Anna Frebel‰female
dbebd3457199ea38f8573d5cf8e985a5‰Imelsa Marcos Benavent‰unknown
7a397988ef209e3265e4be66ebc57e3b‰Ezzeldin Hussein Hamed‰unknown
298e657729588b744a20d57cf3616451‰Josep Font para Delpozo‰male
9efada39d78f47827b77a21dbb859d18‰Miggy C‰unknown
5fc09190518e19253cfa2c34214dff2c‰De la Vega‰andy
be7757a1a85d7e2a75a45a8e0254e82e‰Frank Report‰male
043756963416f39328b0452f1d3864d9‰Peter Neuman‰male
a7eca776c7295ee299b0f7f5ada1806b‰Ivan Sprajc‰male
aa6a7a25da86a5bff0ed96c09bcf2f15‰Joel Guiot‰male
aa6a7a25da86a5bff0ed96c09bcf2f15‰Wolfgang Cramer‰male
f5e4cef1bd722a44714da780c6995a6d‰Jill M Goldstein‰female
9afb1cdbf3907fa787098853f69e8575‰Nuria Pérez‰female
3d997d1d6b1d8be2fed403ba42e169dd‰Alexander L Vahrmeijer‰male
281ce404dfded48bd90beb4427532018‰Rick Astley‰male
281ce404dfded48bd90beb4427532018‰Bede Williams‰unknown
281ce404dfded48bd90beb4427532018‰Mark Ronson‰male
281ce404dfded48bd90beb4427532018‰James Pierpoint‰male
281ce404dfded48bd90beb4427532018‰Pharrell Williams‰unknown
281ce404dfded48bd90beb4427532018‰Taylor Swift‰male
98b92f43af47203c9ce31906fa7d26f1‰Carlos de Habsburgo‰male
98b92f43af47203c9ce31906fa7d26f1‰Javier López‰male
c7566bb9caf3af6f529ea9244b25c926‰López Ferreiro‰unknown
c7566bb9caf3af6f529ea9244b25c926‰Antonio López Ferreiro‰male
4ec1a22cab2b56b9cd71e2eed355d21f‰Henry Janeway Hardenbergh‰male
1c985790cb8f154596fa7ba23aa804b7‰Agustín Ramón Rodríguez-Gonzalez‰male
c4f84ec294ae199b25d5ba4b25f34786‰o Lutero‰unknown
5d7223f645fa71a1e36357f38cfd9947‰Behnam Sadeghirad‰male
c9aff533293b2eeb22fc77a6ef9863fe‰el Greco‰female
c9aff533293b2eeb22fc77a6ef9863fe‰Eric Storm‰male
c9aff533293b2eeb22fc77a6ef9863fe‰Santa Teresa‰female
3fba8fc7a38d1d0417bd017486abd206‰Alfonso Enseñat‰male
d3f826834e7304d9b58dbe6210fb8006‰Pedro» Clara Menéndez‰unknown
d3f826834e7304d9b58dbe6210fb8006‰Pedro Alonso‰male
b1168e711fffbac0e3455de6418a7121‰Guillermo Cisneros‰male
9374fa55f80a9ca87932c91f4ae5ae80‰Isabel López-Díaz‰female
82b068879bcf0003b528ab566736730e‰Seth Shostak‰male
82b068879bcf0003b528ab566736730e‰Paul Davies‰male
f58e5c281105c6efe974df440b566bbc‰Lena Wilfert‰female
f58e5c281105c6efe974df440b566bbc‰Roger Butlin‰male
0eb550e6f666082e886234d8f3498981‰César Marín‰male
0eb550e6f666082e886234d8f3498981‰Dídac Ramírez‰unknown
d2d968452c76b13811661b376b176ea1‰Robert Froemke‰male
6599cfcd384663fd09dff5d5e6c1d770‰José Manuel Moreno‰male
105e0e2d94fe1860055d57a79ad5529b‰Jillian J Jordan‰female
105e0e2d94fe1860055d57a79ad5529b‰David Rand‰male
105e0e2d94fe1860055d57a79ad5529b‰Ned Stark‰male
3ebbd4a68455f3dbb15401de5935b41d‰José María Madiedo‰male
c8d5aad23434e3448a09f86ed13c51e6‰Francisco Ferrer Bartolomé‰male
ec3964aa75552a6833aa5f0702bd0d99‰Luis Vielma‰male
ec3964aa75552a6833aa5f0702bd0d99‰Omar MateenA‰male
5f4ab60dae38cba47d4c9f391099988c‰Vesna Vulovic‰female
